#,Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total
133,Eevee,55,55,50,45,65,55,325
134,Vaporeon,130,65,60,110,95,65,525
135,Jolteon,65,65,60,110,95,130,525
136,Flareon,65,130,60,95,110,65,525
137,Porygon,65,60,70,85,75,40,395
138,Omanyte,35,40,100,90,55,35,355
139,Omastar,70,60,125,115,70,55,495
140,Kabuto,30,80,90,55,45,55,355
141,Kabutops,60,115,105,65,70,80,495
142,Aerodactyl,80,105,65,60,75,130,515
143,Snorlax,160,110,65,65,110,30,540
144,Articuno,90,85,100,95,125,85,580
145,Zapdos,90,90,85,125,90,100,580
146,Moltres,90,100,90,125,85,90,580
147,Dratini,41,64,45,50,50,50,300
148,Dragonair,61,84,65,70,70,70,420
149,Dragonite,91,134,95,100,100,80,600
150,Mewtwo,106,110,90,154,90,130,680
151,Mew,100,100,100,100,100,100,600
